block,vial,treatment,diet,time,censor,hours_til_death
c,49,PBS,0%,15:15,0,120
c,49,PBS,0%,15:15,0,120
c,50,E. faecalis,0%,17:03,1,24
c,50,E. faecalis,0%,17:03,1,48
c,50,E. faecalis,0%,17:03,1,48
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,50,E. faecalis,0%,17:03,0,120
c,51,E. faecalis,0%,17:06,1,24
c,51,E. faecalis,0%,17:06,1,24
c,51,E. faecalis,0%,17:06,1,24
c,51,E. faecalis,0%,17:06,1,24
c,51,E. faecalis,0%,17:06,1,96
c,51,E. faecalis,0%,17:06,0,120
c,51,E. faecalis,0%,17:06,0,120
c,51,E. faecalis,0%,17:06,0,120
c,51,E. faecalis,0%,17:06,0,120
c,51,E. faecalis,0%,17:06,0,120
c,52,E. faecalis,0%,17:01,1,24
c,52,E. faecalis,0%,17:01,1,24
c,52,E. faecalis,0%,17:01,1,24
c,52,E. faecalis,0%,17:01,1,24
c,52,E. faecalis,0%,17:01,1,24
c,52,E. faecalis,0%,17:01,1,48
c,52,E. faecalis,0%,17:01,0,120
c,52,E. faecalis,0%,17:01,0,120
c,52,E. faecalis,0%,17:01,0,120
c,52,E. faecalis,0%,17:01,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,53,PBS,2%,15:10,0,120
c,54,E. faecalis,2%,16:43,1,24
c,54,E. faecalis,2%,16:43,1,48
c,54,E. faecalis,2%,16:43,1,48
c,54,E. faecalis,2%,16:43,1,48
c,54,E. faecalis,2%,16:43,1,48
c,54,E. faecalis,2%,16:43,1,48
c,54,E. faecalis,2%,16:43,0,120
c,54,E. faecalis,2%,16:43,0,120
c,54,E. faecalis,2%,16:43,0,120
c,54,E. faecalis,2%,16:43,0,120
c,55,E. faecalis,2%,16:40,1,48
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,55,E. faecalis,2%,16:40,0,120
c,56,E. faecalis,2%,16:39,1,48
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,56,E. faecalis,2%,16:39,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,57,PBS,4%,14:43,0,120
c,58,E. faecalis,4%,16:20,1,24
c,58,E. faecalis,4%,16:20,1,24
c,58,E. faecalis,4%,16:20,1,48
c,58,E. faecalis,4%,16:20,1,48
c,58,E. faecalis,4%,16:20,1,48
c,58,E. faecalis,4%,16:20,1,48
c,58,E. faecalis,4%,16:20,0,120
c,58,E. faecalis,4%,16:20,0,120
c,58,E. faecalis,4%,16:20,0,120
c,58,E. faecalis,4%,16:20,0,120
c,59,E. faecalis,4%,16:16,1,24
c,59,E. faecalis,4%,16:16,1,24
c,59,E. faecalis,4%,16:16,1,24
c,59,E. faecalis,4%,16:16,1,48
c,59,E. faecalis,4%,16:16,1,48
c,59,E. faecalis,4%,16:16,1,48
c,59,E. faecalis,4%,16:16,1,72
c,59,E. faecalis,4%,16:16,0,120
c,59,E. faecalis,4%,16:16,0,120
c,59,E. faecalis,4%,16:16,0,120
c,60,E. faecalis,4%,16:15,1,24
c,60,E. faecalis,4%,16:15,1,24
c,60,E. faecalis,4%,16:15,1,48
c,60,E. faecalis,4%,16:15,1,48
c,60,E. faecalis,4%,16:15,1,48
